"","IMPORTETOTAL","SEXO","FORMAPAGO","ESTADOCIVIL"
"9545",20.36,"Hombre","Cheque","Casado/a"
"9546",9.725,"Hombre","Cheque","Soltero/a"
"9547",11.25,"Empresa","Tarjeta Débito",""
"9548",39.6725,"Empresa","Cheque",""
"9549",105.425,"Empresa","Cheque",""
"9550",43.075,"Empresa","Efectivo",""
"9551",13.7875,"Empresa","Cheque",""
"9552",32.6,"Empresa","Cheque",""
"9553",86.275,"Empresa","Tarjeta de Crédito",""
"9554",49.785,"Empresa","Cheque",""
"9555",114.0625,"Empresa","Tarjeta Débito",""
"9556",11.125,"Empresa","Tarjeta de Crédito",""
"9557",44.58,"Empresa","Cheque",""
"9558",119.18,"Empresa","Cheque",""
"9559",103.8,"Empresa","Tarjeta Débito",""
"9560",87.58,"Empresa","Cheque",""
"9561",250.545,"Empresa","Cheque",""
"9562",315.5,"Empresa","Cheque",""
"9563",117.81,"Empresa","Cheque",""
"9564",148.245,"Empresa","Cheque",""
"9565",22.225,"Hombre","Cheque","Soltero/a"
"9566",22.1175,"Hombre","Cheque","Soltero/a"
"9567",62.55,"Hombre","Efectivo","Soltero/a"
"9568",29.9625,"Hombre","Cheque","Soltero/a"
"9569",30.22,"Hombre","Cheque","Casado/a"
"9570",21.95,"Hombre","Efectivo","Casado/a"
"9571",29.95,"Mujer","Efectivo","Soltero/a"
"9572",17.9,"Mujer","Cheque","Soltero/a"
"9573",3.725,"Mujer","Cheque","Soltero/a"
"9574",29.95,"Mujer","Tarjeta Débito","Soltero/a"
"9575",11.45,"Mujer","Cheque","Casado/a"
"9576",38.2,"Mujer","Efectivo","Casado/a"
"9577",36.5025,"Mujer","Cheque","Casado/a"
"9578",10.175,"Mujer","Cheque","Casado/a"
"9579",26.775,"Empresa","Cheque",""
"9580",59.9,"Empresa","Cheque",""
"9581",59.35,"Empresa","Cheque",""
"9582",17.98,"Empresa","Cheque",""
"9583",13.575,"Empresa","Cheque",""
"9584",25.22,"Empresa","Cheque",""
"9585",9.95,"Empresa","Cheque",""
"9586",8.925,"Empresa","Cheque",""
"9587",29.95,"Empresa","Cheque",""
"9588",40.5875,"Empresa","Tarjeta de Crédito",""
"9589",82.4325,"Mujer","Efectivo","Viudo/a"
"9590",12.53,"Mujer","Cheque","Viudo/a"
"9591",89.4875,"Empresa","Cheque",""
"9592",138.575,"Empresa","Tarjeta Débito",""
"9593",204.43,"Empresa","Cheque",""
"9594",70.8975,"Empresa","Tarjeta de Crédito",""
"9595",62.05,"Hombre","Cheque","Soltero/a"
"9596",32.27,"Hombre","Tarjeta de Crédito","Soltero/a"
"9597",9.25,"Hombre","Cheque","Soltero/a"
"9598",19.07,"Hombre","Tarjeta Débito","Soltero/a"
"9599",70.45,"Hombre","Tarjeta Débito","Casado/a"
"9600",41.2625,"Hombre","Cheque","Casado/a"
"9601",18,"Mujer","Cheque","Soltero/a"
"9602",23.675,"Mujer","Efectivo","Soltero/a"
"9603",35.5125,"Mujer","Cheque","Soltero/a"
"9604",33.85,"Hombre","Cheque","Casado/a"
"9605",22.56,"Hombre","Tarjeta de Crédito","Casado/a"
"9606",11.35,"Mujer","Cheque","Casado/a"
"9607",45.3875,"Mujer","Cheque","Casado/a"
"9608",70.75,"Hombre","Efectivo","Divorciado/a"
"9609",88.89,"Hombre","Cheque","Divorciado/a"
"9610",36.9325,"Empresa","Tarjeta Débito",""
"9611",82.375,"Empresa","Efectivo",""
"9612",27.125,"Empresa","Efectivo",""
"9613",103.06,"Empresa","Cheque",""
"9614",114.195,"Empresa","Cheque",""
"9615",8.25,"Empresa","Tarjeta Débito",""
"9616",17.25,"Empresa","Cheque",""
"9617",18.675,"Empresa","Tarjeta de Crédito",""
"9618",86.075,"Empresa","Cheque",""
"9619",12.53,"Mujer","Tarjeta de Crédito","Viudo/a"
"9620",26.3125,"Mujer","Cheque","Viudo/a"
"9621",7.87,"Mujer","Cheque","Viudo/a"
"9622",8.0125,"Mujer","Cheque","Viudo/a"
"9623",108,"Empresa","Efectivo",""
"9624",213.3325,"Empresa","Cheque",""
"9625",320.54,"Empresa","Efectivo",""
"9626",57.625,"Empresa","Cheque",""
"9627",141.5,"Empresa","Cheque",""
"9628",205.91,"Empresa","Efectivo",""
"9629",45.025,"Hombre","Cheque","Soltero/a"
"9630",6.225,"Hombre","Cheque","Soltero/a"
"9631",44.72,"Hombre","Tarjeta de Crédito","Casado/a"
"9632",25.3,"Hombre","Cheque","Casado/a"
"9633",6.225,"Hombre","Tarjeta Débito","Soltero/a"
"9634",49.65,"Hombre","Cheque","Soltero/a"
"9635",26.16,"Mujer","Tarjeta Débito","Soltero/a"
"9636",17.28,"Mujer","Tarjeta de Crédito","Soltero/a"
"9637",3.95,"Mujer","Cheque","Soltero/a"
"9638",45.28,"Mujer","Tarjeta Débito","Soltero/a"
"9639",7.57,"Hombre","Tarjeta de Crédito","Casado/a"
"9640",10.175,"Mujer","Cheque","Casado/a"
"9641",7.45,"Mujer","Tarjeta Débito","Casado/a"
"9642",35.5125,"Mujer","Tarjeta Débito","Casado/a"
"9643",10.79,"Mujer","Cheque","Casado/a"
"9644",41.2,"Hombre","Cheque","Divorciado/a"
"9645",58.475,"Hombre","Cheque","Divorciado/a"
"9646",14.55,"Hombre","Efectivo","Divorciado/a"
"9647",198.8775,"Hombre","Cheque","Divorciado/a"
"9648",57.35,"Empresa","Tarjeta de Crédito",""
"9649",16.6875,"Empresa","Tarjeta de Crédito",""
"9650",3.95,"Empresa","Cheque",""
"9651",35.705,"Empresa","Cheque",""
"9652",67.3,"Empresa","Cheque",""
"9653",55.1,"Empresa","Cheque",""
"9654",62.91,"Empresa","Tarjeta de Crédito",""
"9655",11.2,"Empresa","Tarjeta Débito",""
"9656",31.95,"Mujer","Efectivo","Viudo/a"
"9657",36.55,"Mujer","Cheque","Viudo/a"
"9658",20.36,"Mujer","Efectivo","Viudo/a"
"9659",11.12,"Mujer","Tarjeta de Crédito","Viudo/a"
"9660",460.48,"Empresa","Cheque",""
"9661",65.3125,"Empresa","Efectivo",""
"9662",151.4375,"Empresa","Efectivo",""
"9663",363.515,"Empresa","Tarjeta de Crédito",""
"9664",45.725,"Empresa","Cheque",""
"9665",172.2375,"Empresa","Tarjeta de Crédito",""
"9666",319.5,"Empresa","Cheque",""
"9667",254.92,"Empresa","Cheque",""
"9668",9.025,"Mujer","Efectivo","Casado/a"
"9669",31.4625,"Hombre","Cheque","Casado/a"
"9670",16,"Hombre","Efectivo","Soltero/a"
"9671",6.225,"Hombre","Tarjeta Débito","Soltero/a"
"9672",18.6,"Hombre","Cheque","Soltero/a"
"9673",17.9,"Mujer","Cheque","Soltero/a"
"9674",4.0625,"Mujer","Tarjeta de Crédito","Soltero/a"
"9675",5.5625,"Mujer","Efectivo","Soltero/a"
"9676",32.6,"Mujer","Tarjeta de Crédito","Casado/a"
"9677",44.075,"Mujer","Efectivo","Casado/a"
"9678",44.71,"Mujer","Cheque","Casado/a"
"9679",48.41,"Mujer","Efectivo","Casado/a"
"9680",180.19,"Hombre","Tarjeta de Crédito","Divorciado/a"
"9681",47.59,"Hombre","Tarjeta Débito","Divorciado/a"
"9682",110.175,"Hombre","Cheque","Divorciado/a"
"9683",41.72,"Hombre","Cheque","Divorciado/a"
"9684",68.67,"Hombre","Tarjeta Débito","Divorciado/a"
"9685",49.49,"Hombre","Efectivo","Divorciado/a"
"9686",68.255,"Hombre","Efectivo","Divorciado/a"
"9687",31.4,"Hombre","Cheque","Divorciado/a"
"9688",11.125,"Hombre","Tarjeta de Crédito","Divorciado/a"
"9689",117.5825,"Empresa","Cheque",""
"9690",245.94,"Empresa","Cheque",""
"9691",18.625,"Empresa","Cheque",""
"9692",122.15,"Empresa","Cheque",""
"9693",337.575,"Empresa","Cheque",""
"9694",343.3,"Empresa","Tarjeta de Crédito",""
"9695",23.375,"Hombre","Tarjeta de Crédito","Divorciado/a"
"9696",26.375,"Hombre","Tarjeta de Crédito","Divorciado/a"
"9697",262.5125,"Empresa","Cheque",""
"9698",115.6075,"Empresa","Tarjeta Débito",""
"9699",371.8875,"Empresa","Tarjeta Débito",""
"9700",379.17,"Empresa","Tarjeta de Crédito",""
"9701",176.81,"Empresa","Cheque",""
"9702",113.7925,"Empresa","Cheque",""
"9703",192.475,"Empresa","Tarjeta de Crédito",""
"9704",9.725,"Hombre","Cheque","Divorciado/a"
"9705",88.56,"Hombre","Cheque","Divorciado/a"
"9706",16.35,"Hombre","Tarjeta de Crédito","Divorciado/a"
"9707",78.975,"Hombre","Efectivo","Divorciado/a"
"9708",183.035,"Empresa","Efectivo",""
"9709",269.895,"Empresa","Cheque",""
"9710",213.22,"Empresa","Cheque",""
"9711",306.2275,"Empresa","Tarjeta de Crédito",""
"9712",111.965,"Empresa","Cheque",""
"9713",94.21,"Empresa","Efectivo",""
"9714",39.975,"Empresa","Tarjeta de Crédito",""
"9715",28.62,"Empresa","Cheque",""
"9716",154.55,"Empresa","Tarjeta de Crédito",""
"9717",78.05,"Empresa","Efectivo",""
"9718",59.18,"Empresa","Efectivo",""
"9719",68.3825,"Hombre","Efectivo","Divorciado/a"
"9720",9.25,"Hombre","Efectivo","Divorciado/a"
"9721",155.35,"Hombre","Cheque","Divorciado/a"
"9722",109.4125,"Hombre","Tarjeta de Crédito","Divorciado/a"
"9723",145.36,"Empresa","Tarjeta de Crédito",""
"9724",168.975,"Empresa","Efectivo",""
"9725",60.54,"Empresa","Efectivo",""
"9726",127.3125,"Empresa","Tarjeta de Crédito",""
"9727",141.05,"Empresa","Efectivo",""
"9728",106.325,"Empresa","Cheque",""
"9729",85.1125,"Empresa","Cheque",""
"9730",115.8,"Empresa","Cheque",""
"9731",322.0825,"Empresa","Cheque",""
"9732",136.65,"Empresa","Cheque",""
"9733",221.7375,"Empresa","Cheque",""
"9734",11.125,"Empresa","Cheque",""
"9735",324.27,"Empresa","Cheque",""
"9736",50.725,"Empresa","Cheque",""
"9737",112.2,"Empresa","Tarjeta de Crédito",""
"9738",74.98,"Empresa","Tarjeta de Crédito",""
"9739",644.175,"Empresa","Tarjeta de Crédito",""
"9740",297.12,"Empresa","Cheque",""
"9741",59.28,"Mujer","Efectivo","Casado/a"
"9742",119.7,"Mujer","Tarjeta de Crédito","Casado/a"
"9743",232.28,"Empresa","Efectivo",""
"9744",364.475,"Empresa","Cheque",""
"9745",264.075,"Empresa","Cheque",""
"9746",202.905,"Empresa","Tarjeta de Crédito",""
"9747",13.575,"Hombre","Tarjeta de Crédito","Divorciado/a"
"9748",15.2,"Hombre","Cheque","Divorciado/a"
"9749",46.91,"Hombre","Tarjeta de Crédito","Soltero/a"
"9750",9.26,"Hombre","Tarjeta de Crédito","Soltero/a"
"9751",146.145,"Empresa","Cheque",""
"9752",275.575,"Empresa","Cheque",""
"9753",164.275,"Empresa","Cheque",""
"9754",330.35,"Empresa","Efectivo",""
"9755",54,"Mujer","Tarjeta de Crédito","Casado/a"
"9756",9.5875,"Mujer","Tarjeta Débito","Casado/a"
"9757",11.75,"Mujer","Cheque","Casado/a"
"9758",12.53,"Mujer","Efectivo","Casado/a"
"9759",123.275,"Empresa","Tarjeta de Crédito",""
"9760",377.565,"Empresa","Cheque",""
"9761",251.1525,"Empresa","Cheque",""
"9762",161.58,"Empresa","Tarjeta de Crédito",""
"9763",11.51,"Hombre","Cheque","Divorciado/a"
"9764",9.5875,"Hombre","Efectivo","Soltero/a"
"9765",229.41,"Empresa","Efectivo",""
"9766",83.505,"Empresa","Efectivo",""
"9767",541.84,"Empresa","Cheque",""
"9768",207.665,"Empresa","Tarjeta de Crédito",""
"9769",37.05,"Hombre","Efectivo","Divorciado/a"
"9770",25.195,"Hombre","Tarjeta Débito","Divorciado/a"
"9771",216.95,"Empresa","Tarjeta de Crédito",""
"9772",258.3625,"Empresa","Cheque",""
"9773",303.97,"Empresa","Efectivo",""
"9774",295.785,"Empresa","Efectivo",""
"9775",25.5375,"Hombre","Tarjeta de Crédito","Divorciado/a"
"9776",15.25,"Hombre","Tarjeta de Crédito","Divorciado/a"
"9777",11.75,"Hombre","Efectivo","Divorciado/a"
"9778",9.725,"Hombre","Tarjeta de Crédito","Divorciado/a"
"9779",51.625,"Hombre","Cheque","Divorciado/a"
"9780",54.475,"Hombre","Tarjeta de Crédito","Divorciado/a"
"9781",77.93,"Hombre","Efectivo","Divorciado/a"
"9782",22.025,"Hombre","Cheque","Divorciado/a"
"9783",26.3375,"Hombre","Cheque","Divorciado/a"
"9784",36.55,"Hombre","Efectivo","Divorciado/a"
"9785",10.175,"Hombre","Tarjeta Débito","Divorciado/a"
"9786",9.975,"Hombre","Cheque","Soltero/a"
"9787",36.175,"Mujer","Tarjeta de Crédito","Divorciado/a"
"9788",32.6,"Mujer","Efectivo","Divorciado/a"
"9789",13.0875,"Mujer","Efectivo","Divorciado/a"
"9790",6.2,"Mujer","Efectivo","Divorciado/a"
"9791",4.6875,"Hombre","Cheque","Soltero/a"
"9792",48.51,"Hombre","Efectivo","Divorciado/a"
"9793",134.26,"Hombre","Tarjeta de Crédito","Divorciado/a"
"9794",2,"Hombre","Tarjeta Débito","Divorciado/a"
"9795",29.95,"Hombre","Cheque","Divorciado/a"
"9796",16.11,"Hombre","Cheque","Divorciado/a"
"9797",13.8125,"Hombre","Cheque","Divorciado/a"
"9798",31.15,"Hombre","Efectivo","Divorciado/a"
"9799",54.5,"Hombre","Cheque","Divorciado/a"
"9800",16.03,"Hombre","Tarjeta Débito","Soltero/a"
"9801",27.5325,"Hombre","Cheque","Soltero/a"
"9802",3.95,"Mujer","Cheque","Divorciado/a"
"9803",54.03,"Mujer","Tarjeta Débito","Divorciado/a"
"9804",13.0625,"Hombre","Efectivo","Soltero/a"
"9805",77.025,"Hombre","Efectivo","Soltero/a"
"9806",77.6225,"Hombre","Efectivo","Divorciado/a"
"9807",7.9,"Hombre","Cheque","Divorciado/a"
"9808",35.7,"Hombre","Tarjeta Débito","Divorciado/a"
"9809",29.2425,"Hombre","Cheque","Divorciado/a"
"9810",4.0625,"Hombre","Cheque","Soltero/a"
"9811",49.95,"Hombre","Cheque","Soltero/a"
"9812",28.195,"Hombre","Tarjeta de Crédito","Soltero/a"
"9813",14.325,"Hombre","Efectivo","Soltero/a"
"9814",174.95,"Hombre","Cheque","Divorciado/a"
"9815",51.045,"Hombre","Cheque","Divorciado/a"
"9816",38.27,"Hombre","Cheque","Divorciado/a"
"9817",107.8225,"Hombre","Cheque","Divorciado/a"
"9818",63.4625,"Empresa","Cheque",""
"9819",94.235,"Empresa","Tarjeta de Crédito",""
"9820",58.85,"Hombre","Cheque","Soltero/a"
"9821",36.1,"Hombre","Cheque","Soltero/a"
"9822",6.225,"Mujer","Tarjeta Débito","Divorciado/a"
"9823",4.975,"Mujer","Tarjeta de Crédito","Divorciado/a"
"9824",48.66,"Mujer","Tarjeta Débito","Viudo/a"
"9825",15.075,"Mujer","Tarjeta de Crédito","Viudo/a"
"9826",49.79,"Mujer","Tarjeta de Crédito","Viudo/a"
"9827",82.625,"Mujer","Efectivo","Viudo/a"
"9828",59.925,"Empresa","Efectivo",""
"9829",42.05,"Empresa","Efectivo",""
"9830",85.02,"Empresa","Efectivo",""
"9831",72.115,"Empresa","Cheque",""
"9832",56.75,"Mujer","Cheque","Viudo/a"
"9833",53.05,"Mujer","Tarjeta de Crédito","Viudo/a"
"9834",28.4,"Mujer","Efectivo","Viudo/a"
"9835",101.73,"Mujer","Efectivo","Viudo/a"
"9836",33.08,"Empresa","Tarjeta de Crédito",""
"9837",151.975,"Empresa","Cheque",""
"9838",66.76,"Empresa","Cheque",""
"9839",161.4675,"Empresa","Efectivo",""
"9840",43.94,"Mujer","Cheque","Viudo/a"
"9841",129.69,"Mujer","Tarjeta de Crédito","Viudo/a"
"9842",116.67,"Mujer","Cheque","Viudo/a"
"9843",47.1,"Mujer","Tarjeta Débito","Viudo/a"
"9844",71.325,"Mujer","Tarjeta de Crédito","Viudo/a"
"9845",79.605,"Mujer","Tarjeta de Crédito","Viudo/a"
"9846",130.2,"Empresa","Efectivo",""
"9847",50.61,"Empresa","Tarjeta Débito",""
"9848",138.925,"Empresa","Efectivo",""
"9849",82.775,"Empresa","Tarjeta Débito",""
"9850",77.4,"Mujer","Efectivo","Viudo/a"
"9851",38.65,"Mujer","Efectivo","Viudo/a"
"9852",65.4625,"Mujer","Tarjeta de Crédito","Viudo/a"
"9853",105.23,"Mujer","Tarjeta de Crédito","Viudo/a"
"9854",58.27,"Mujer","Tarjeta de Crédito","Viudo/a"
"9855",111.81,"Mujer","Tarjeta Débito","Viudo/a"
"9856",165.87,"Mujer","Tarjeta Débito","Viudo/a"
"9857",16.1,"Empresa","Cheque",""
"9858",137.95,"Empresa","Cheque",""
"9859",63.66,"Empresa","Cheque",""
"9860",59.27,"Empresa","Tarjeta de Crédito",""
"9861",5.5625,"Hombre","Cheque","Soltero/a"
"9862",4.0625,"Hombre","Tarjeta de Crédito","Soltero/a"
"9863",54.15,"Hombre","Cheque","Soltero/a"
"9864",7.5625,"Hombre","Cheque","Soltero/a"
"9865",20.27,"Hombre","Cheque","Divorciado/a"
"9866",27.85,"Hombre","Cheque","Divorciado/a"
"9867",14.31,"Mujer","Tarjeta Débito","Casado/a"
"9868",9.9,"Mujer","Efectivo","Casado/a"
"9869",86.675,"Hombre","Cheque","Divorciado/a"
"9870",56.5,"Hombre","Cheque","Divorciado/a"
"9871",89.9375,"Hombre","Cheque","Divorciado/a"
"9872",61.03,"Hombre","Tarjeta de Crédito","Divorciado/a"
"9873",25.85,"Hombre","Cheque","Casado/a"
"9874",74.39,"Hombre","Cheque","Casado/a"
"9875",11.75,"Hombre","Efectivo","Casado/a"
"9876",12.11,"Hombre","Tarjeta de Crédito","Casado/a"
"9877",19.275,"Hombre","Cheque","Divorciado/a"
"9878",7.45,"Hombre","Cheque","Divorciado/a"
"9879",32.6,"Hombre","Cheque","Soltero/a"
"9880",15.02,"Hombre","Tarjeta de Crédito","Soltero/a"
"9881",191.25,"Empresa","Cheque",""
"9882",74.06,"Empresa","Tarjeta Débito",""
"9883",34.845,"Empresa","Cheque",""
"9884",14.925,"Empresa","Efectivo",""
"9885",29.81,"Hombre","Cheque","Viudo/a"
"9886",40.8125,"Hombre","Cheque","Casado/a"
"9887",17.35,"Hombre","Tarjeta de Crédito","Casado/a"
"9888",5.5625,"Mujer","Efectivo","Soltero/a"
"9889",9.35,"Mujer","Cheque","Soltero/a"
"9890",17.81,"Empresa","Efectivo",""
"9891",70.5,"Empresa","Cheque",""
"9892",15.54,"Hombre","Cheque","Casado/a"
"9893",29.15,"Hombre","Cheque","Divorciado/a"
"9894",16.15,"Hombre","Cheque","Divorciado/a"
"9895",21.475,"Hombre","Tarjeta de Crédito","Casado/a"
"9896",9.25,"Hombre","Cheque","Casado/a"
"9897",15.74,"Empresa","Efectivo",""
"9898",47.12,"Empresa","Tarjeta de Crédito",""
"9899",36.66,"Empresa","Cheque",""
"9900",34.52,"Empresa","Tarjeta de Crédito",""
"9901",41.35,"Mujer","Cheque","Divorciado/a"
"9902",27.35,"Mujer","Cheque","Divorciado/a"
"9903",18,"Mujer","Cheque","Divorciado/a"
"9904",23.475,"Mujer","Cheque","Divorciado/a"
"9905",22.4,"Hombre","Cheque","Soltero/a"
"9906",12.16,"Hombre","Cheque","Divorciado/a"
"9907",12.11,"Hombre","Cheque","Divorciado/a"
"9908",44.7,"Hombre","Efectivo","Casado/a"
"9909",69.96,"Hombre","Cheque","Casado/a"
"9910",4.0625,"Hombre","Tarjeta de Crédito","Soltero/a"
"9911",39.62,"Hombre","Cheque","Soltero/a"
"9912",4.0625,"Mujer","Tarjeta de Crédito","Soltero/a"
"9913",15.8125,"Mujer","Tarjeta de Crédito","Soltero/a"
"9914",32.295,"Mujer","Cheque","Soltero/a"
"9915",37.425,"Mujer","Efectivo","Soltero/a"
"9916",15.02,"Hombre","Tarjeta de Crédito","Divorciado/a"
"9917",4.725,"Hombre","Tarjeta de Crédito","Divorciado/a"
"9918",45.5625,"Hombre","Cheque","Soltero/a"
"9919",14.625,"Hombre","Tarjeta Débito","Soltero/a"
"9920",17.085,"Hombre","Cheque","Soltero/a"
"9921",18,"Hombre","Tarjeta de Crédito","Soltero/a"
"9922",9.5875,"Mujer","Efectivo","Casado/a"
"9923",6.225,"Mujer","Cheque","Casado/a"
"9924",4.375,"Hombre","Tarjeta de Crédito","Casado/a"
"9925",69.7,"Hombre","Tarjeta de Crédito","Divorciado/a"
"9926",3.5,"Hombre","Tarjeta de Crédito","Divorciado/a"
"9927",77.05,"Hombre","Tarjeta de Crédito","Divorciado/a"
"9928",29.92,"Hombre","Cheque","Divorciado/a"
"9929",26.97,"Hombre","Tarjeta de Crédito","Casado/a"
"9930",25.6,"Hombre","Tarjeta Débito","Casado/a"
"9931",13.5375,"Hombre","Cheque","Casado/a"
"9932",68.15,"Hombre","Tarjeta de Crédito","Casado/a"
"9933",39.925,"Hombre","Tarjeta de Crédito","Casado/a"
"9934",20.425,"Hombre","Tarjeta de Crédito","Casado/a"
"9935",36.53,"Hombre","Cheque","Divorciado/a"
"9936",35,"Hombre","Cheque","Divorciado/a"
"9937",4.975,"Hombre","Tarjeta de Crédito","Soltero/a"
"9938",4.975,"Hombre","Efectivo","Soltero/a"
"9939",217.1,"Empresa","Cheque",""
"9940",171.05,"Empresa","Cheque",""
"9941",48.2,"Empresa","Cheque",""
"9942",240.6675,"Empresa","Tarjeta de Crédito",""
"9943",7.99,"Hombre","Tarjeta de Crédito","Casado/a"
"9944",31,"Hombre","Cheque","Casado/a"
"9945",24.4,"Mujer","Tarjeta de Crédito","Soltero/a"
"9946",4.0625,"Mujer","Cheque","Soltero/a"
"9947",6.35,"Mujer","Cheque","Soltero/a"
"9948",25.895,"Mujer","Tarjeta de Crédito","Soltero/a"
"9949",64.65,"Empresa","Cheque",""
"9950",75.85,"Hombre","Efectivo","Casado/a"
"9951",33.445,"Hombre","Cheque","Casado/a"
"9952",31.95,"Hombre","Tarjeta de Crédito","Divorciado/a"
"9953",22.4,"Hombre","Cheque","Divorciado/a"
"9954",4.0625,"Hombre","Tarjeta de Crédito","Casado/a"
"9955",3.5,"Hombre","Tarjeta de Crédito","Casado/a"
"9956",32.37,"Empresa","Cheque",""
"9957",45.02,"Empresa","Cheque",""
"9958",11.625,"Empresa","Tarjeta de Crédito",""
"9959",29.92,"Mujer","Cheque","Divorciado/a"
"9960",6.5,"Mujer","Cheque","Divorciado/a"
"9961",21.95,"Mujer","Cheque","Divorciado/a"
"9962",81.5275,"Mujer","Cheque","Divorciado/a"
"9963",67.28,"Hombre","Cheque","Casado/a"
"9964",31.05,"Hombre","Cheque","Casado/a"
"9965",29.81,"Hombre","Tarjeta de Crédito","Soltero/a"
"9966",6.225,"Hombre","Efectivo","Soltero/a"
"9967",6.8375,"Hombre","Tarjeta de Crédito","Soltero/a"
"9968",33.45,"Hombre","Cheque","Casado/a"
"9969",16.5125,"Hombre","Efectivo","Casado/a"
"9970",17.1875,"Hombre","Cheque","Soltero/a"
"9971",22.1,"Hombre","Efectivo","Soltero/a"
"9972",59.21,"Mujer","Cheque","Soltero/a"
"9973",26.6025,"Mujer","Cheque","Soltero/a"
"9974",3.5,"Mujer","Efectivo","Soltero/a"
"9975",19.995,"Mujer","Cheque","Soltero/a"
"9976",13.35,"Hombre","Cheque","Divorciado/a"
"9977",35.25,"Hombre","Tarjeta Débito","Divorciado/a"
"9978",19.2,"Hombre","Efectivo","Soltero/a"
"9979",20.9,"Hombre","Cheque","Soltero/a"
"9980",4.0625,"Mujer","Cheque","Soltero/a"
"9981",38.5,"Mujer","Cheque","Soltero/a"
"9982",17.5375,"Mujer","Cheque","Casado/a"
"9983",45.99,"Mujer","Efectivo","Casado/a"
"9984",28,"Hombre","Efectivo","Casado/a"
"9985",34.92,"Hombre","Cheque","Casado/a"
"9986",29.95,"Hombre","Cheque","Soltero/a"
"9987",24.83,"Hombre","Cheque","Soltero/a"
"9988",9.5875,"Mujer","Efectivo","Casado/a"
"9989",3.5,"Mujer","Tarjeta de Crédito","Casado/a"
"9990",3.5,"Mujer","Efectivo","Casado/a"
"9991",29.95,"Mujer","Cheque","Casado/a"
"9992",11.125,"Hombre","Tarjeta Débito","Casado/a"
"9993",58.52,"Hombre","Cheque","Casado/a"
"9994",51.5975,"Hombre","Cheque","Casado/a"
"9995",35.8,"Hombre","Tarjeta de Crédito","Casado/a"
"9996",64.81,"Hombre","Efectivo","Divorciado/a"
"9997",19.8275,"Hombre","Cheque","Divorciado/a"
"9998",11.94,"Hombre","Tarjeta de Crédito","Divorciado/a"
"9999",11.48,"Hombre","Cheque","Soltero/a"
"10000",6.225,"Hombre","Tarjeta de Crédito","Soltero/a"
"10001",19.41,"Hombre","Cheque","Soltero/a"
"10002",87.6,"Empresa","Cheque",""
"10003",347.63,"Empresa","Efectivo",""
"10004",150.93,"Empresa","Efectivo",""
"10005",94.875,"Empresa","Efectivo",""
"10006",164.095,"Empresa","Efectivo",""
"10007",5.3,"Hombre","Tarjeta de Crédito","Casado/a"
"10008",4.0625,"Hombre","Tarjeta de Crédito","Casado/a"
"10009",23.235,"Mujer","Efectivo","Soltero/a"
"10010",15.02,"Mujer","Cheque","Soltero/a"
"10011",42.775,"Empresa","Cheque",""
"10012",55.8,"Empresa","Tarjeta de Crédito",""
"10013",32.7825,"Empresa","Cheque",""
"10014",6.225,"Empresa","Efectivo",""
"10015",3.5,"Hombre","Cheque","Casado/a"
"10016",237.035,"Hombre","Tarjeta Débito","Casado/a"
"10017",34.735,"Hombre","Tarjeta de Crédito","Casado/a"
"10018",57.075,"Hombre","Cheque","Casado/a"
"10019",9.25,"Hombre","Cheque","Divorciado/a"
"10020",5.5625,"Hombre","Tarjeta Débito","Casado/a"
"10021",28.35,"Hombre","Tarjeta de Crédito","Casado/a"
"10022",7.45,"Hombre","Cheque","Casado/a"
"10023",20.535,"Empresa","Cheque",""
"10024",44.97,"Empresa","Efectivo",""
"10025",10.175,"Mujer","Cheque","Divorciado/a"
"10026",60.9125,"Mujer","Tarjeta de Crédito","Divorciado/a"
"10027",27.45,"Mujer","Cheque","Divorciado/a"
"10028",69.9125,"Mujer","Cheque","Divorciado/a"
"10029",44.075,"Hombre","Efectivo","Casado/a"
"10030",5.725,"Hombre","Tarjeta de Crédito","Casado/a"
"10031",47.955,"Hombre","Tarjeta Débito","Casado/a"
"10032",7.475,"Hombre","Cheque","Soltero/a"
"10033",4.0625,"Hombre","Cheque","Soltero/a"
"10034",4.0625,"Hombre","Tarjeta Débito","Soltero/a"
"10035",12.68,"Hombre","Cheque","Soltero/a"
"10036",17.35,"Hombre","Cheque","Soltero/a"
"10037",39.425,"Hombre","Cheque","Soltero/a"
"10038",15.375,"Hombre","Cheque","Casado/a"
"10039",58.25,"Hombre","Cheque","Casado/a"
"10040",76.075,"Hombre","Cheque","Casado/a"
"10041",6.225,"Hombre","Cheque","Soltero/a"
"10042",15,"Hombre","Tarjeta de Crédito","Soltero/a"
"10043",41.27,"Mujer","Tarjeta de Crédito","Divorciado/a"
"10044",51.25,"Mujer","Cheque","Divorciado/a"
"10045",12.075,"Hombre","Cheque","Divorciado/a"
"10046",7.2,"Hombre","Cheque","Divorciado/a"
"10047",3.5,"Hombre","Cheque","Divorciado/a"
"10048",23.5,"Hombre","Efectivo","Divorciado/a"
"10049",47,"Mujer","Cheque","Soltero/a"
"10050",6.225,"Mujer","Cheque","Soltero/a"
"10051",15.8125,"Mujer","Efectivo","Casado/a"
"10052",11.2,"Hombre","Tarjeta de Crédito","Soltero/a"
"10053",10.5375,"Hombre","Cheque","Soltero/a"
"10054",17.35,"Mujer","Efectivo","Casado/a"
"10055",36.7,"Mujer","Efectivo","Casado/a"
